Time_s,MotionPhase,LeftSideSpeed_mps,RightSideSpeed_mps,LeftFrontRearWheelSpeed_radps,RightFrontRearWheelSpeed_radps,LinearSpeed_mps,IdealYawRate_radps,SkidAdjustedYawRate_radps,IdealX_m,IdealY_m,IdealHeading_rad,SkidX_m,SkidY_m,SkidHeading_rad
19.34,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.36,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.38,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.4,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.42,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.44,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.46,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.48,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.5,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.52,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.54,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.56,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.58,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.6,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.62,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.64,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.66,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.68,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.7,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.72,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.74,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.76,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.78,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.8,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.82,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.84,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.86,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.88,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.9,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.92,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.94,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.96,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
19.98,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.02,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.04,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.06,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.08,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.1,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.12,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.14,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.16,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.18,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.2,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.22,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.24,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.26,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.28,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.3,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.32,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.34,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
20.36,Stop,0,0,0,0,0,0,0,1.99346909131137,-0.278270249860024,3.2592592592593,0.88717996546654,-0.639580041119053,2.60740740740742
